english_name,korean_name,image_url
Rakan,라칸,https://cdn.discordapp.com/attachments/1380885275382648914/1380932446920376330/Rakan.png?ex=6845ad0f&is=68445b8f&hm=656e3f398c21ba24d5aec8408599c9cccbbc4b7a1107d0b21bdcd23054e2b4a0&
Rammus,람머스,https://cdn.discordapp.com/attachments/1380885275382648914/1380932447134421072/Rammus.png?ex=6845ad0f&is=68445b8f&hm=0af3844c1f479a395794dbd696369934662c2021e148e41226f304b66a1cddf3&
Rek_Sai,렉사이,https://cdn.discordapp.com/attachments/1380885275382648914/1380932447478222968/Rek_Sai.png?ex=6845ad0f&is=68445b8f&hm=b628a34b336105b49b8dfc9b0293752ccca46b2531964199cc70b70b2f4576f9&
Rell,렐,https://cdn.discordapp.com/attachments/1380885275382648914/1380932447742459974/Rell.png?ex=6845ad10&is=68445b90&hm=de1fc80facc92475ce6defa7b80091cccfb13c1dfeb2bcd4ced82f7ace9f6a93&
Renata_Glasc,레나타 글라스크,https://cdn.discordapp.com/attachments/1380885275382648914/1380932448002768979/Renata_Glasc.png?ex=6845ad10&is=68445b90&hm=830b9c9024a9a5423553018fce80d04c5adbcdda1025ced97229479f77161a56&
Renekton,레넥톤,https://cdn.discordapp.com/attachments/1380885275382648914/1380932448241713222/Renekton.png?ex=6845ad10&is=68445b90&hm=1a8b73d0d8572d995a64d0615356bd0f1c682dbd925ba461fc9d0f5e7d296f5a&
Rengar,렝가,https://cdn.discordapp.com/attachments/1380885275382648914/1380932445792370880/Rengar.png?ex=6845ad0f&is=68445b8f&hm=c8c65d03be006a7fbbddd36fa603121526710750e7fe3a868a37593e7066be42&
Riven,리븐,https://cdn.discordapp.com/attachments/1380885275382648914/1380932646619709611/Riven.png?ex=6845ad3f&is=68445bbf&hm=0ebca5d59cd450d3101fdd3f1e8d43ca517e979d82d2a7810e06f58449267c1b&
Rumble,럼블,https://cdn.discordapp.com/attachments/1380885275382648914/1380932646925897748/Rumble.png?ex=6845ad3f&is=68445bbf&hm=099642b621784e40211ba2530ea466a0688aef9ce0246eca7a5a83c41ff6e5df&
Ryze,라이즈,https://cdn.discordapp.com/attachments/1380885275382648914/1380932647361970326/Ryze.png?ex=6845ad3f&is=68445bbf&hm=3658c8809c694b923194e5a3bd8c8a1b48e91f2465674472cf855130aeaeb333&
Samira,사미라,https://cdn.discordapp.com/attachments/1380885275382648914/1380932647756365915/Samira.png?ex=6845ad3f&is=68445bbf&hm=22cc932b43972a02079e1c546f831e27eeeef03ce42f28db67e2d7801665c1af&
Sejuani,세주아니,https://cdn.discordapp.com/attachments/1380885275382648914/1380932648448561243/Sejuani.png?ex=6845ad3f&is=68445bbf&hm=3ad2c2b43bdc79228f9176da4e0740f5fe256b8a678b18cdc5ed803247d63f0a&
Senna,세나,https://cdn.discordapp.com/attachments/1380885275382648914/1380932648960000221/Senna.png?ex=6845ad40&is=68445bc0&hm=5b0540da46f3129a94d7ba6241de03fdbf8cfedce8db251ad99631b149dab14d&
Seraphine,세라핀,https://cdn.discordapp.com/attachments/1380885275382648914/1380932649337618564/Seraphine.png?ex=6845ad40&is=68445bc0&hm=6e2388b1d47c2f41c72e80df66f61bbfbe436bc78f1565843f99ea06538e26a1&
Sett,세트,https://cdn.discordapp.com/attachments/1380885275382648914/1380932649740144873/Sett.png?ex=6845ad40&is=68445bc0&hm=50b728c6bc7a7b94a7f5b492fc7483c815b9f6b508e2891afbd025043909deeb&
Shaco,샤코,https://cdn.discordapp.com/attachments/1380885275382648914/1380932650315022366/Shaco.png?ex=6845ad40&is=68445bc0&hm=e223a252e22cf271ebcdbe7b2d6bf7fdb0a825495ff7333c5b530a6090f7939c&
Shen,쉔,https://cdn.discordapp.com/attachments/1380885275382648914/1380932646380769310/Shen.png?ex=6845ad3f&is=68445bbf&hm=79d16d4bbafd3402e738da4f1d0eab90122394aa7e84d85c95102656b690aa0f&
Shyvana,쉬바나,https://cdn.discordapp.com/attachments/1380885275382648914/1380932811724165151/Shyvana.png?ex=6845ad66&is=68445be6&hm=e9f150653a28ae7dfd507a7a06084c7a9b7ba2b56b9c3ece19abbcfa86885230&
Singed,신지드,https://cdn.discordapp.com/attachments/1380885275382648914/1380932812051583098/Singed.png?ex=6845ad66&is=68445be6&hm=75137c9040f345ee9de104368ff6f2f65af85e0cc945d20dcca182dd1054ffa4&
